acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
aom 3.7.0-1
archlinux-keyring 20231026-1
argon2 20190702-5
at-spi2-core 2.50.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r139+ge5b0bad-1
base 3-2
base-devel 1-1
bash 5.2.015-5
binutils 2.41-3
bison 3.8.2-6
brotli 1.1.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.94-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cantarell-fonts 1:0.303.1-1
coreutils 9.4-2
cryptsetup 2.6.1-3
curl 8.4.0-2
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
diffutils 3.10-1
e2fsprogs 1.47.0-1
expat 2.5.0-1
fakeroot 1.32.1-1
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
flex 2.6.4-5
fontconfig 2:2.14.2-1
freetype2 2.13.2-1
fribidi 1.0.13-2
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gd 2.3.3-7
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gettext 0.22.3-1
ghostscript 10.02.1-1
giflib 5.2.1-2
git 2.42.0-1
glib2 2.78.1-1
glibc 2.38-7
gmp 6.3.0-1
gnupg 2.2.41-2
gnutls 3.8.1-2
gpgme 1.23.1-1
graphite 1:1.3.14-3
graphviz 9.0.0-1
grep 3.11-1
groff 1.23.0-5
gsettings-desktop-schemas 45.0-1
gsfonts 20200910-3
gtk-update-icon-cache 1:4.12.3-2
gtk2 2.24.33-3
gts 0.7.6.121130-2
guile 3.0.9-1
gzip 1.13-2
harfbuzz 8.2.2-1
hicolor-icon-theme 0.17-3
hwdata 0.375-2
iana-etc 20231018-1
icu 73.2-2
ijs 0.35-5
iproute2 6.5.0-1
iptables 1:1.8.9-1
iputils 20221126-2
jansson 2.14-2
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jre-openjdk-headless 21.u35-3
jre8-openjdk 8.392.u08-1
jre8-openjdk-headless 8.392.u08-1
json-c 0.17-1
kbd 2.6.3-1
keyutils 1.6.3-2
kmod 31-1
krb5 1.20.1-2
lcms2 2.15-1
less 1:643-1
libarchive 3.7.2-1
libassuan 2.5.6-1
libavif 1.0.1-4
libbpf 1.2.2-1
libcap 2.69-1
libcap-ng 0.8.3-2
libcups 1:2.4.7-2
libdaemon 0.14-5
libdatrie 0.2.13-4
libde265 1.0.12-1
libelf 0.189-3
libevent 2.1.12-4
libffi 3.4.4-1
libgcrypt 1.10.2-1
libgpg-error 1.47-1
libheif 1.17.1-1
libice 1.1.1-2
libidn 1.41-1
libidn2 2.3.4-3
libisl 0.26-1
libjpeg-turbo 3.0.1-1
libksba 1.6.4-1
libldap 2.6.6-2
libmnl 1.0.5-1
libmpc 1.3.1-1
libnet 2:1.1.6-1
libnetfilter_conntrack 1.0.9-1
libnfnetlink 1.0.2-1
libnftnl 1.2.6-1
libnghttp2 1.58.0-1
libnl 3.8.0-1
libnsl 2.0.1-1
libp11-kit 0.25.2-1
libpaper 2.1.2-1
libpcap 1.10.4-1
libpng 1.6.40-2
libpsl 0.21.2-1
librsvg 2:2.57.0-1
libsasl 2.1.28-4
libseccomp 2.5.4-2
libsecret 0.21.1-1
libsm 1.2.4-1
libssh2 1.11.0-1
libsysprof-capture 45.1-1
libtasn1 4.19.0-1
libthai 0.1.29-3
libtiff 4.6.0-1
libtirpc 1.3.4-1
libtool 2.4.7+4+g1ec8fa28-6
libunistring 1.1-2
libusb 1.0.26-2
libutempter 1.2.1-4
libverto 0.3.2-4
libwebp 1.3.2-1
libx11 1.8.7-1
libxau 1.0.11-2
libxcb 1.16-1
libxcomposite 0.4.6-1
libxcrypt 4.4.36-1
libxcursor 1.2.1-3
libxdamage 1.1.6-1
libxdmcp 1.1.4-2
libxext 1.3.5-1
libxfixes 6.0.1-1
libxft 2.3.8-1
libxi 1.8.1-1
libxinerama 1.1.5-1
libxml2 2.11.5-1
libxmu 1.1.4-1
libxpm 3.5.17-1
libxrandr 1.5.4-1
libxrender 0.9.11-1
libxt 1.3.0-1
libxtst 1.2.4-1
libyuv r2426+464c51a0-1
licenses 20231011-1
linux-api-headers 6.4-1
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
make 4.4.1-2
